,Fund,Date,Description,Start,Change,End,For More Information,Table type
0,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Accrued Gross Income,1100336.05,1085218.41,2185554.46,See Accrued Gross Income,Receivables
1,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Payables,,,,,Liabilities
2,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Accrued Expenses,-3886694.17,941513.01,-2945181.16,See Accrued Expenses,Liabilities
3,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Accrued Capital Expenses,-290231.92,-82568.02,-372799.94,,Liabilities
4,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Spot Contracts,-36362.67,36362.67,0.0,See Spot Contracts Payable/Receivable,Liabilities
5,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Income,-4583995.57,4583995.57,0.0,See Income Payable,Liabilities
6,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Unrealized Loss on Forward Contracts,0.0,-134.14,-134.14,See Unrealized G/L on Currency Contracts,Liabilities
7,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Total Net Assets,1229888996.66,-339799750.34,890089246.32,,Total net assets
8,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Prepaid Expenses,1728732.03,139633.7,1868365.73,See Prepaid Expenses,Receivables
9,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Reclaims,3265933.54,65801.91,3331735.45,See Reclaim Receivable,Receivables
10,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Securities Sold,15801250.2,-7804936.51,7996313.69,See Securities Purchased Payable/Sold Receivable,Receivables
11,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Spot Contracts,198770.82,3307464.82,3506235.64,See Spot Contracts Payable/Receivable,Receivables
12,1736917 - LCIV GB ALPHA GROWTH FND,30 Dec 22,Accrued Gross Withholding,-7114.84,2118.51,-4996.33,See Accrued Net Withholding,Receivables
13,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Accrued Capital Expenses,-205.55,-70.82,-276.37,,Liabilities
14,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Capital Shares Redeemed,-4869120.39,4869120.39,0.0,See Capital Shares Payable/Receivable,Liabilities
15,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Total Net Assets,772769506.89,13629536.96,786399043.85,,Total net assets
16,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Accrued Expenses,-1036826.16,286781.22,-750044.94,See Accrued Expenses,Liabilities
17,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Payables,,,,,Liabilities
18,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Other Payables,-30879.61,30879.61,0.0,See Other Payables/Receivables,Liabilities
19,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Securities Sold,-4839236.63,4839236.63,0.0,See Securities Purchased Payable/Sold Receivable,Receivables
20,1736938 - LCIV DIVERSIFD GROWTH FND,30 Dec 22,Accrued Gross Income,4839236.63,-4839236.63,0.0,See Accrued Gross Income,Receivables
21,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Accrued Gross Income,2118886.19,-2118886.19,0.0,See Accrued Gross Income,Receivables
22,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Payables,,,,,Liabilities
23,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Accrued Expenses,-94958.45,-152064.81,-247023.26,See Accrued Expenses,Liabilities
24,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Other Payables,-16851.31,16851.31,0.0,See Other Payables/Receivables,Liabilities
25,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Capital Shares Redeemed,-785433.69,785433.69,0.0,See Capital Shares Payable/Receivable,Liabilities
26,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Total Net Assets,211776591.26,3248648.33,215025239.59,,Total net assets
27,1740040 - LCIV GB TOTAL RETURN FND,30 Dec 22,Accrued Capital Expenses,-165.79,-96.93,-262.72,,Liabilities
28,1740041 - LCIV ABSOLUTE RETURN FND,30 Dec 22,Securities Purchased,-307000.0,307000.0,0.0,See Securities Purchased Payable/Sold Receivable,Liabilities
29,1740041 - LCIV ABSOLUTE RETURN FND,30 Dec 22,Accrued Capital Expenses,-192.0,-4.53,-196.53,,Liabilities
30,1740041 - LCIV ABSOLUTE RETURN FND,30 Dec 22,Accrued Expenses,-55714.01,-6148.4,-61862.41,See Accrued Expenses,Liabilities
31,1740041 - LCIV ABSOLUTE RETURN FND,30 Dec 22,Payables,,,,,Liabilities
32,1740041 - LCIV ABSOLUTE RETURN FND,30 Dec 22,Accrued Gross Income,0.0,10838935.29,10838935.29,See Accrued Gross Income,Receivables
33,1740041 - LCIV ABSOLUTE RETURN FND,30 Dec 22,Total Net Assets,1146894421.57,-3600125.98,1143294295.59,,Total net assets
34,1745443 - LCIV REAL RETURN FND,30 Dec 22,Accrued Capital Expenses,-46.4,-50.1,-96.5,,Liabilities
35,1745443 - LCIV REAL RETURN FND,30 Dec 22,Payables,,,,,Liabilities
36,1745443 - LCIV REAL RETURN FND,30 Dec 22,Accrued Expenses,-20217.87,-7056.25,-27274.12,See Accrued Expenses,Liabilities
